tumors	patients	mock_pseudospace	tumors	patients	tgfb_pseudospace
OV	OV.TCGA.04.1331.01A.01R.1569.13	56.0230861033179	OV	OV.TCGA.04.1331.01A.01R.1569.13	69.0280818928054
OV	OV.TCGA.04.1341.01A.01R.1564.13	59.0046064864706	OV	OV.TCGA.04.1341.01A.01R.1564.13	58.0188784537663
OV	OV.TCGA.04.1343.01A.01R.1564.13	62.4903975208884	OV	OV.TCGA.04.1343.01A.01R.1564.13	45.8546220957779
OV	OV.TCGA.04.1347.01A.01R.1564.13	53.2053479186647	OV	OV.TCGA.04.1347.01A.01R.1564.13	45.2751231140508
OV	OV.TCGA.04.1356.01A.01R.1569.13	50.7154853598264	OV	OV.TCGA.04.1356.01A.01R.1569.13	54.8750821141852
OV	OV.TCGA.04.1357.01A.01R.1565.13	47.1326466950089	OV	OV.TCGA.04.1357.01A.01R.1565.13	48.6172017800681
OV	OV.TCGA.04.1361.01A.01R.1565.13	58.8431347884108	OV	OV.TCGA.04.1361.01A.01R.1565.13	50.7177340056211
OV	OV.TCGA.04.1362.01A.01R.1565.13	24.8078770040912	OV	OV.TCGA.04.1362.01A.01R.1565.13	30.6112576747575
OV	OV.TCGA.04.1542.01A.01R.1566.13	40.012028717731	OV	OV.TCGA.04.1542.01A.01R.1566.13	38.14451088654
OV	OV.TCGA.04.1648.01A.01R.1567.13	46.3888754310008	OV	OV.TCGA.04.1648.01A.01R.1567.13	34.1125582146465
OV	OV.TCGA.04.1651.01A.01R.1567.13	49.1757132283521	OV	OV.TCGA.04.1651.01A.01R.1567.13	42.2905577622665
OV	OV.TCGA.04.1655.01A.01R.1566.13	49.5458723586144	OV	OV.TCGA.04.1655.01A.01R.1566.13	41.8673587195652
LUAD	LUAD.TCGA.05.4244.01A.01R.1107.07	64.574878880239	LUAD	LUAD.TCGA.05.4244.01A.01R.1107.07	43.2480466895756
LUAD	LUAD.TCGA.05.4249.01A.01R.1107.07	63.5413107619886	LUAD	LUAD.TCGA.05.4249.01A.01R.1107.07	37.4213191207612
LUAD	LUAD.TCGA.05.4250.01A.01R.1107.07	73.5155352587964	LUAD	LUAD.TCGA.05.4250.01A.01R.1107.07	67.7951488237561
LUAD	LUAD.TCGA.05.4384.01A.01R.1755.07	36.2771891149373	LUAD	LUAD.TCGA.05.4384.01A.01R.1755.07	36.5005183438067
LUAD	LUAD.TCGA.05.4389.01A.01R.1206.07	71.8231894345613	LUAD	LUAD.TCGA.05.4389.01A.01R.1206.07	60.3409295463258
LUAD	LUAD.TCGA.05.4390.01A.02R.1755.07	53.6259869206444	LUAD	LUAD.TCGA.05.4390.01A.02R.1755.07	57.4814011528358
LUAD	LUAD.TCGA.05.4395.01A.01R.1206.07	84.060561812873	LUAD	LUAD.TCGA.05.4395.01A.01R.1206.07	66.1427659439229
LUAD	LUAD.TCGA.05.4396.01A.21R.1858.07	31.9830380738261	LUAD	LUAD.TCGA.05.4396.01A.21R.1858.07	37.3722532887775
LUAD	LUAD.TCGA.05.4397.01A.01R.1206.07	95.4813579972897	LUAD	LUAD.TCGA.05.4397.01A.01R.1206.07	92.7892558660881
LUAD	LUAD.TCGA.05.4398.01A.01R.1206.07	90.4912598166009	LUAD	LUAD.TCGA.05.4398.01A.01R.1206.07	80.2914694090237
LUAD	LUAD.TCGA.05.4402.01A.01R.1206.07	82.9238168771574	LUAD	LUAD.TCGA.05.4402.01A.01R.1206.07	62.4416013799648
LUAD	LUAD.TCGA.05.4403.01A.01R.1206.07	53.4966215192486	LUAD	LUAD.TCGA.05.4403.01A.01R.1206.07	34.0330466958545
