patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
X23764	59.7810129076974	inner	0.53363304925602	53.3179164984697	outer	0.524672085922435
X23736	74.7127153415368	inner	0.558108607565982	79.3111262557528	inner	0.573382065580956
X23802	78.6444930523748	outer	0.538802708341887	67.6033362491248	inner	0.535097512867653
X24045	63.1969399132814	inner	0.560395669100284	52.2157972918725	inner	0.575120914693456
X23805	59.7173131791258	inner	0.517325102372078	71.2444939117812	outer	0.519706589706463
X23808	76.4975842556627	inner	0.568300054412795	78.1225738166297	outer	0.551692788782086
X23940	38.2295531434064	outer	0.54669402524987	74.7596120329541	inner	0.582927758298782
X24077	71.5605209377564	outer	0.502865457009145	76.8029885038571	outer	0.535506686845554
X24229	55.5428681818092	inner	0.464753437003393	51.5654696455931	outer	0.501324384169746
X24177	86.0245086962768	outer	0.583663240480421	84.3060355970605	outer	0.582959443691443
X13764	34.5082902291606	outer	0.466439475448634	26.614939885891	inner	0.497959759544805
X24243	34.2756744373604	inner	-0.111125212373927	33.1725983505277	inner	-0.0586210658909751
X24359	60.1228022794098	outer	0.511509378073057	42.8528862145637	outer	0.513842745156877
X24294	55.76967223712	inner	0.118214964175068	41.6909820380886	neutral	0.146807264077138
X24295	71.6796532746863	outer	0.547083006783318	46.4092912386222	inner	0.568365314599234
X24363	37.3108795116229	outer	0.383248640881226	34.6973859065613	outer	0.432194786713774
X24358	34.7768795129957	inner	-0.143961904089737	32.4768531121347	inner	-0.0779881097980265
X24464	56.9076930365971	inner	0.463628830043743	47.0755497477172	outer	0.47704892095171
X24424	75.9639843755696	neutral	0.535934875311111	88.4688311657384	outer	0.559703555716454
X24423	78.1780763639583	outer	0.577002173985512	56.7636024801828	outer	0.578932100403551
X24465	86.7145336024743	outer	0.535843377770066	67.8326002690923	neutral	0.537770430186993
X13904	58.6817343319386	outer	0.313336925943315	43.6578539169649	outer	0.37496581064016
X24550	53.8834939534056	inner	0.485750074506222	48.1096219213868	outer	0.532161859525176
X24838	66.4104977659752	outer	0.588115741578394	47.2957732459431	neutral	0.592959655181029
X25027	61.7857072853961	outer	0.467836383016333	48.1123959870177	outer	0.509073460021856
X25358	44.8467381353954	outer	0.52445330522963	29.9676222121803	inner	0.558208168040841
X25134	47.6902183514791	neutral	0.311510594194879	46.3040774438445	outer	0.373926616675697
X25315	80.4960115024235	outer	0.617852689731436	77.2352723708036	neutral	0.619499012986606
X25352	88.4676264264731	outer	0.550104975458271	87.1669147110234	outer	0.549826390126345
X25317	57.1475930897713	inner	0.549873581876732	48.5821509736404	outer	0.540155082464113
X25318	83.6637687578693	inner	0.483482987813692	90.3458638474223	outer	0.490441432893288
X25356	67.768243500843	inner	0.53132340243486	66.2159509433554	outer	0.536064764608095
X13931	61.5445532421078	outer	0.447629499891467	43.3810990670907	outer	0.479671937354797
X25438	40.2868618978652	inner	0.379935032845234	41.1318708166908	neutral	0.427385740015346
X25419	60.9507492835569	outer	0.473276868026449	41.1434639705267	inner	0.498382521535971
X25559	70.4410040123076	outer	0.566918929217819	58.3146753476338	inner	0.56633939228306
X25439	48.4112699573336	inner	0.201916793031833	36.4957007541099	neutral	0.253964414810309
X25500	49.4582334485656	inner	-0.00238719322075021	42.6712699446819	inner	0.0792973730686062
X25436	47.8443212758819	outer	0.536933519790145	41.6528565946826	inner	0.565905123166071
X25483	27.1942457256278	inner	0.538691108883007	38.2029911261622	inner	0.561745673560987
X25435	73.1024395061424	outer	0.520517979415731	56.4689378165588	outer	0.528528976354718
X25440	65.3175011919911	inner	0.538960798048331	62.814703678128	outer	0.551937967226252
X25437	63.7116535025836	inner	0.500870967570422	64.2957330193858	outer	0.52152265219202
X14231	72.4365757211123	outer	0.487909405223265	57.9411660381802	neutral	0.509455768638216
X25572	79.6350360235141	inner	0.549742803128041	71.2617175200489	outer	0.535050437015555
X25424	62.4848365390821	inner	0.422185808427989	44.1488722478409	inner	0.455861203011909
X25426	86.9737454031929	outer	0.595731376865629	84.8906132899993	outer	0.581643918495128
X25484	57.9062920701731	inner	0.473148963475436	47.5994016157439	inner	0.479720695540036
X25496	54.3769246092921	inner	0.4558260710398	51.0046396267759	outer	0.491568956451037
X25593	56.8093751701672	inner	0.584651472761274	54.1600043259009	inner	0.591294610030366
X25441	60.4126358211654	inner	0.566161890788304	43.8348748643427	neutral	0.58873733069597
X25535	48.3770393379074	inner	0.538416702620699	36.2086235907047	inner	0.56292107135422
X25589	31.0891510023306	inner	0.508518387575253	88.8939253744608	inner	0.538160252411688
X25658	57.9135215868494	outer	0.533469509997676	44.0576519486805	inner	0.558011920628531
X13947	47.6817663272791	inner	0.243922362360982	46.8335944636784	inner	0.314934538147374
X25494	47.207691068285	outer	0.516700250330828	38.164489937548	neutral	0.550684871939292
X25497	71.3650868091243	outer	0.486642987450438	46.3455030167403	outer	0.509162194274245
X25498	54.7216127415762	inner	0.565510871676284	37.7383372314202	inner	0.57094188439803
X25582	48.0052747850002	neutral	0.539357340354475	69.0647266425658	outer	0.569500678180978
X25501	53.528986896996	inner	0.587844032729259	42.2729267305847	inner	0.606079829592379
