genes	status	with_pemt	no_pemt
VIM	Mesenchymal_marker	1	1
CDH2	Mesenchymal_marker	1	1
FOXC2	Mesenchymal_marker	1	1
SNAI1	Mesenchymal_marker	1	1
SNAI2	Mesenchymal_marker	1	1
TWIST1	Mesenchymal_marker	1	1
FN1	Mesenchymal_marker	1	1
ITGB6	Mesenchymal_marker	1	1
MMP2	Mesenchymal_marker	1	1
MMP3	Mesenchymal_marker	1	1
MMP9	Mesenchymal_marker	1	1
SOX10	Mesenchymal_marker	1	1
GCS	Mesenchymal_marker	1	1
CDH1	Epithelial_marker	1	1
DSP	Epithelial_marker	1	1
OCLN	Epithelial_marker	1	1
ZEB1	Mesenchymal_marker	1	1
ZEB2	Mesenchymal_marker	1	1
TWIST2	Mesenchymal_marker	1	1
PDPN	pEMT	1	0
ITGA5	pEMT	1	0
ITGA6	pEMT	1	0
TGFBI	pEMT	1	0
LAMC2	pEMT	1	0
MMP10	pEMT	1	0
LAMA3	pEMT	1	0
CDH13	pEMT	1	0
SERPINE1	pEMT	1	0
P4HA2	pEMT	1	0
TNC	pEMT	1	0
MMP1	pEMT	1	0
CRB3	Epithelial_marker	1	1
