patients	pseudospace	ratio	cor_mock
GBM.TCGA.02.0047.01A.01R.1849.01	63.3984566549937	outer	0.667272335634082
GBM.TCGA.02.0055.01A.01R.1849.01	86.7776455288241	outer	0.764616217081672
GBM.TCGA.02.2483.01A.01R.1849.01	95.0193978555885	outer	0.711503223692379
GBM.TCGA.02.2485.01A.01R.1849.01	82.8535384932984	outer	0.685362279990923
GBM.TCGA.02.2486.01A.01R.1849.01	72.0939872839105	outer	0.749739503837297
OV.TCGA.04.1331.01A.01R.1569.13	51.3552505461923	inner	0.758791534108237
OV.TCGA.04.1341.01A.01R.1564.13	62.3321746205785	outer	0.750612952423903
OV.TCGA.04.1343.01A.01R.1564.13	61.2742933475227	outer	0.758088782494059
OV.TCGA.04.1347.01A.01R.1564.13	52.5953989392956	inner	0.75528128417145
OV.TCGA.04.1356.01A.01R.1569.13	66.0148659678554	outer	0.770803356138776
OV.TCGA.04.1357.01A.01R.1565.13	48.3347364549145	inner	0.803559611534754
OV.TCGA.04.1361.01A.01R.1565.13	49.4827086661998	outer	0.76244055514744
OV.TCGA.04.1362.01A.01R.1565.13	29.7426997193774	inner	0.752158079725222
OV.TCGA.04.1542.01A.01R.1566.13	42.2990607418884	inner	0.741876034007789
OV.TCGA.04.1648.01A.01R.1567.13	38.0121549610442	inner	0.747541870411153
OV.TCGA.04.1651.01A.01R.1567.13	45.566275759155	outer	0.7469215140576
OV.TCGA.04.1655.01A.01R.1566.13	47.3644209955474	outer	0.763650155948785
LUAD.TCGA.05.4244.01A.01R.1107.07	61.3572522706524	outer	0.768739634163
LUAD.TCGA.05.4249.01A.01R.1107.07	61.1099187622365	outer	0.779873439589416
LUAD.TCGA.05.4250.01A.01R.1107.07	75.9115935598331	outer	0.800800925058593
LUAD.TCGA.05.4384.01A.01R.1755.07	30.1028814094359	neutral	0.774772075153385
LUAD.TCGA.05.4389.01A.01R.1206.07	72.7233780621229	outer	0.782102390831655
LUAD.TCGA.05.4390.01A.02R.1755.07	43.6223867890182	inner	0.763128358611084
LUAD.TCGA.05.4395.01A.01R.1206.07	87.0922640923523	outer	0.780017886443688
