patients	pseudospace	ratio	cor_mock
MGH26_A02	59.1025869129954	inner	0.346313630220391
MGH26_A03	57.9194283913446	inner	0.371324305693897
MGH26_A05	56.3271250308625	inner	0.365531335126104
MGH26_A07	58.2840533735833	inner	0.395001999644701
MGH26_A08	56.3528549689569	inner	0.251340981422713
MGH26_A09	70.3302593908442	outer	0.443834360663185
MGH26_A12	60.4929692055167	inner	0.368643865141583
MGH26_B01	61.4013173352433	neutral	0.396759217912864
MGH26_B02	54.7099701182366	outer	0.319369545253974
MGH26_B05	59.3647810711937	inner	0.367385667556182
MGH26_B06	60.5476922276283	inner	0.375646294283807
MGH26_B10	49.8383381131338	inner	0.400713819385326
MGH26_B12	54.7160955945291	inner	0.324891309566588
MGH26_C01	62.7139848772645	inner	0.398238503139568
MGH26_C03	53.6703505239999	inner	0.37587530176006
MGH26_C05	60.2242457851264	inner	0.387382539734004
MGH26_C12	60.8512291315598	outer	0.393863279740213
MGH26_D01	67.2975338782613	neutral	0.390207739500954
MGH26_D03	60.9900241430802	inner	0.359134205767681
MGH26_D06	59.5922024385232	inner	0.342456879085614
MGH26_D07	55.5509299492958	inner	0.363475918900488
MGH26_D08	50.5948683816885	inner	0.376425584163797
MGH26_D10	69.3749381586739	outer	0.484817932184788
MGH26_E02	65.6094678652368	neutral	0.441226594082801
MGH26_E04	57.1218201956134	inner	0.338472382693654
MGH26_E05	52.2889266172916	inner	0.41008716099152
MGH26_E06	77.3059460327316	inner	0.434273186689551
MGH26_E07	49.1063389285736	inner	0.314961861946538
MGH26_E08	61.1495554215607	inner	0.374737228189359
MGH26_E10	57.698684822236	inner	0.314413892181113
MGH26_E12	58.8691250351384	inner	0.396728285318475
MGH26_F02	60.1801345443141	inner	0.402860145127038
MGH26_F05	58.1278863930669	inner	0.350859455880492
MGH26_F08	59.4931708834566	inner	0.43973637218024
MGH26_F09	59.284288832955	inner	0.36986477777599
MGH26_F10	57.1163169205205	inner	0.402624837613921
MGH26_F11	56.9549102823991	inner	0.373782816468448
MGH26_F12	66.9623192444952	inner	0.392373308338237
MGH26_G01	85.6513776152116	inner	0.47535782859117
MGH26_G02	48.2461098072566	inner	0.3976844172491
MGH26_G03	62.4834369965914	outer	0.421077786694154
MGH26_G06	56.2148272433113	inner	0.34926834566005
MGH26_G09	60.6255841652639	inner	0.340325595798334
MGH26_G10	82.3521544607176	outer	0.468615179653708
MGH26_G11	61.2870088995944	inner	0.423341914035334
MGH26_G12	54.721671576121	inner	0.362726217684533
MGH26_H01	60.7206782569772	inner	0.395055804158009
MGH26_H02	59.3490191951685	inner	0.44673970608407
MGH26_H05	57.8497782466534	inner	0.350991277849726
MGH26_H07	72.0181886755169	inner	0.410104122364991
MGH26_H08	55.8474808233437	inner	0.367672725900595
MGH26_H11	48.2394775030239	inner	0.371638637685863
MGH26_H12	58.1161395175627	inner	0.404482063220059
MGH28_A01	55.9417739727657	neutral	0.308580712570053
MGH28_A02	62.634261072222	outer	0.422836360255038
MGH28_A03	56.3330252002269	inner	0.381240050033528
MGH28_A04	65.3390585687686	neutral	0.428820588019471
MGH28_A05	68.4072474002168	inner	0.441797720354835
MGH28_A06	56.4150359627874	inner	0.359175284164243
MGH28_A07	88.0905087932495	outer	0.455893810265308
MGH28_A08	58.4537089668516	neutral	0.34110852586404
MGH28_A09	62.4110175459873	outer	0.360489222621905
MGH28_A10	58.0385443220884	inner	0.399426830087118
MGH28_A11	60.3913449773871	inner	0.451581770882177
MGH28_A12	56.0952399657847	inner	0.362609699239961
MGH28_B01	60.9625867941818	outer	0.392412085194615
MGH28_B02	74.7456932936331	neutral	0.389299325553599
MGH28_B03	62.5025365570132	outer	0.410081689350578
MGH28_B04	64.3311683264964	outer	0.454460867118345
MGH28_B05	58.9339321852962	outer	0.376564065009341
MGH28_B06	59.373730854502	neutral	0.407841997443044
MGH28_B07	61.6150199273503	neutral	0.421429742394235
MGH28_B08	61.792252233085	outer	0.45749623423369
MGH28_B09	58.3613672822233	neutral	0.380061124256667
MGH28_B10	67.8576166390723	inner	0.470396786056355
MGH28_B11	56.5224225758681	inner	0.317394801314853
MGH28_B12	80.5271674628203	outer	0.46963268977672
MGH28_C01	55.596835924178	inner	0.331937008721252
MGH28_C02	66.0266055491082	outer	0.457494574006712
MGH28_C03	62.5645989091808	outer	0.444143574304591
MGH28_C04	64.5635080565686	inner	0.390636015964709
MGH28_C05	82.6744419546634	inner	0.507235808487864
MGH28_C06	57.5200480875615	inner	0.337754434012293
MGH28_C07	76.0635245099429	outer	0.477767117057734
MGH28_C08	73.9038544594466	outer	0.478918649221573
MGH28_C09	68.7648101684602	outer	0.449498731682244
MGH28_C10	59.8173675507667	outer	0.4301053336463
