geneSymbol,No Dox,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
TSPAN6,38.47609667,30.94388867,29.527003,27.99865933,28.00290333,23.78262333,27.310886,24.41831233
TNMD,0,0,0.048960133,0.019131233,0.0394826,0.0062791,0.0227295,0.03012527
DPM1,43.96474266,47.52839814,39.39358085,43.82836452,37.6409231,49.67787232,44.19611179,39.82282154
SCYL3,7.833722667,6.649795667,6.794211377,7.123716767,7.195174178,6.279240333,6.982185467,6.9304985
C1orf112,15.31095458,16.60728253,10.07115747,12.75767909,7.267835767,11.78526215,4.5880364,10.28404483
FGR,0.019490182,0.025165991,0.029609503,0.044168308,0.105551942,0.118496852,0.141971871,0.050984117
CFH,28.62766271,24.8731992,46.04093941,51.14754251,85.05704763,49.96278467,86.77444633,94.27972253
FUCA2,31.29459067,33.56094708,29.95259235,32.12517367,26.20757467,36.46221044,30.17492081,27.50630616
GCLC,43.47107484,40.45820639,30.73348922,30.24862444,28.31575692,30.74207222,21.4289797,29.54230223
NFYA,12.65012333,13.16574333,14.19635333,12.53689333,12.05612,11.434507,10.18692667,12.66314
STPG1,6.545953165,6.730363263,7.632945208,5.446349427,4.648708109,5.398944369,4.056156185,3.761309559
NIPAL3,24.61693918,20.96096627,29.65882137,22.58129449,26.97766852,13.51471343,18.28331927,19.25405148
LAS1L,30.4559271,32.44491854,22.66468863,27.42928707,20.93622667,35.733446,27.14468389,28.26696978
ENPP4,7.781133333,7.05873,9.104373333,8.91031,10.53883333,6.086816667,8.596876667,9.211373333
SEMA3F,0.93849031,1.210824478,0.909652239,0.520344598,0.59331888,0.669820053,0.45789667,0.574727664
CFTR,0.018761366,0.020989451,0.156524765,0.026514117,0.010908318,0.011066352,0.024255732,0.04704104
ANKIB1,17.50719337,16.27051067,18.19847083,16.61699263,19.67890601,9.132196371,11.26029483,15.03780547
CYP51A1,31.15784247,30.92907789,30.7745888,27.71397171,26.83265938,21.33208123,20.68722033,23.9315258
KRIT1,11.64421514,11.08985243,13.98390819,12.54898447,13.92610286,10.72936936,12.48126204,14.73303174
RAD52,3.47322862,3.314839744,3.669913804,3.418526151,4.025186997,2.870096524,3.417082473,3.829468963
MYH16,0.980178921,1.679874142,1.105009842,0.962889512,0.408495267,0.462007559,0.330170157,0.150754153
BAD,47.47186133,42.34642233,41.31209787,46.053049,46.05582933,70.51366173,56.94424367,45.082173
LAP3,63.05119073,64.91304587,50.7317289,61.26641653,54.63552943,83.39702703,57.43750877,65.56268567
CD99,77.08412545,86.99439671,88.22736424,97.95324885,97.4375085,135.0264645,141.9713775,101.733989
HS3ST1,6.668508907,4.8230551,3.18636979,1.393204081,1.617520551,2.204151751,2.273151166,1.733272004
ABP1,0.069451363,0.150108396,0.187430799,0.122692581,0.182614154,0.054881399,0.098910785,0.0750417
WNT16,0,0.025276456,0,0.00246128,0.00499274,0,0.007036507,0.005928403
HECW1,1.031591415,1.299989433,1.592733181,1.626400497,1.599024282,2.16489383,1.308797545,1.785512412
MAD1L1,15.06828858,19.22752453,17.71422721,19.57714763,18.15034496,21.57479537,17.79532467,13.57090371
LASP1,78.70579763,85.01355613,76.7501652,80.98609563,81.3282094,77.1208488,92.81241547,89.0513604
SNX11,7.19627728,7.614105593,7.377625627,8.120824436,7.119483963,8.21972673,7.174754201,7.17394264
TMEM176A,0.031977224,0.0079936,0,0.025543367,0.018711033,0,0.022694133,0.0423996
M6PR,41.9436626,43.53362933,41.96548,50.29320577,54.40217633,48.98807133,49.41672743,47.10520567
KLHL13,10.35087302,9.047116059,8.232297122,7.620872536,7.376074055,5.814006764,5.411253094,6.919150577
CYP26B1,1.544490802,1.957480861,1.823767756,0.903434478,0.65916026,0.794985692,0.497404633,0.401922411
ICA1,12.10210923,7.64742985,13.73397919,10.24366957,12.80687489,6.451682408,9.323308251,9.11849859
DBNDD1,8.833079832,4.524771089,6.500375704,3.891051263,4.209217924,3.90984098,3.568506625,2.793076022
ALS2,8.172011106,7.386090711,8.839549504,8.491566599,9.146559676,7.090697179,7.026104716,8.87142354
CASP10,1.646721043,1.558835392,2.206190524,1.984695119,1.977745385,1.582416547,1.779111255,1.688682396
CFLAR,23.78464045,19.66549681,21.60539235,23.11950095,24.68827707,15.8172147,17.91260962,23.60256746
TFPI,26.91235382,25.9380597,35.88611204,33.34241415,40.42617818,30.36629029,35.63701697,38.18335717
NDUFAF7,11.35493331,10.93293329,10.71469506,11.37474198,12.21607166,10.62794664,11.94900906,11.63012256
