SOURCE	TARGET	count
LowPseudotime_tumour	LowPseudotime_tumour	62
LowPseudotime_tumour	HighPseudotime_tumour	218
LowPseudotime_tumour	MidPseudotime_tumour	178
LowPseudotime_tumour	Stromal	139
LowPseudotime_tumour	Tcell	96
LowPseudotime_tumour	Bcell	66
LowPseudotime_tumour	Myeloid	153
HighPseudotime_tumour	LowPseudotime_tumour	218
HighPseudotime_tumour	HighPseudotime_tumour	164
HighPseudotime_tumour	MidPseudotime_tumour	289
HighPseudotime_tumour	Stromal	245
HighPseudotime_tumour	Tcell	163
HighPseudotime_tumour	Bcell	117
HighPseudotime_tumour	Myeloid	263
MidPseudotime_tumour	LowPseudotime_tumour	178
MidPseudotime_tumour	HighPseudotime_tumour	289
MidPseudotime_tumour	MidPseudotime_tumour	119
MidPseudotime_tumour	Stromal	195
MidPseudotime_tumour	Tcell	129
MidPseudotime_tumour	Bcell	91
MidPseudotime_tumour	Myeloid	204
Stromal	LowPseudotime_tumour	139
Stromal	HighPseudotime_tumour	245
Stromal	MidPseudotime_tumour	195
Stromal	Stromal	121
Stromal	Tcell	165
Stromal	Bcell	100
Stromal	Myeloid	243
Tcell	LowPseudotime_tumour	96
Tcell	HighPseudotime_tumour	163
Tcell	MidPseudotime_tumour	129
Tcell	Stromal	165
Tcell	Tcell	95
Tcell	Bcell	127
Tcell	Myeloid	238
Bcell	LowPseudotime_tumour	66
Bcell	HighPseudotime_tumour	117
Bcell	MidPseudotime_tumour	91
Bcell	Stromal	100
Bcell	Tcell	127
Bcell	Bcell	45
Bcell	Myeloid	151
Myeloid	LowPseudotime_tumour	153
Myeloid	HighPseudotime_tumour	263
Myeloid	MidPseudotime_tumour	204
Myeloid	Stromal	243
Myeloid	Tcell	238
Myeloid	Bcell	151
Myeloid	Myeloid	165
