id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	Bcell|Bcell	Bcell|HighPseudotime_tumour	Bcell|LowPseudotime_tumour	Bcell|MidPseudotime_tumour	Bcell|Myeloid	Bcell|Stromal	Bcell|Tcell	HighPseudotime_tumour|Bcell	HighPseudotime_tumour|HighPseudotime_tumour	HighPseudotime_tumour|LowPseudotime_tumour	HighPseudotime_tumour|MidPseudotime_tumour	HighPseudotime_tumour|Myeloid	HighPseudotime_tumour|Stromal	HighPseudotime_tumour|Tcell	LowPseudotime_tumour|Bcell	LowPseudotime_tumour|HighPseudotime_tumour	LowPseudotime_tumour|LowPseudotime_tumour	LowPseudotime_tumour|MidPseudotime_tumour	LowPseudotime_tumour|Myeloid	LowPseudotime_tumour|Stromal	LowPseudotime_tumour|Tcell	MidPseudotime_tumour|Bcell	MidPseudotime_tumour|HighPseudotime_tumour	MidPseudotime_tumour|LowPseudotime_tumour	MidPseudotime_tumour|MidPseudotime_tumour	MidPseudotime_tumour|Myeloid	MidPseudotime_tumour|Stromal	MidPseudotime_tumour|Tcell	Myeloid|Bcell	Myeloid|HighPseudotime_tumour	Myeloid|LowPseudotime_tumour	Myeloid|MidPseudotime_tumour	Myeloid|Myeloid	Myeloid|Stromal	Myeloid|Tcell	Stromal|Bcell	Stromal|HighPseudotime_tumour	Stromal|LowPseudotime_tumour	Stromal|MidPseudotime_tumour	Stromal|Myeloid	Stromal|Stromal	Stromal|Tcell	Tcell|Bcell	Tcell|HighPseudotime_tumour	Tcell|LowPseudotime_tumour	Tcell|MidPseudotime_tumour	Tcell|Myeloid	Tcell|Stromal	Tcell|Tcell
CPI-SS0A7B487D4	KLRG2_WNT11	simple:A4D1S0	simple:O96014	KLRG2	WNT11	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111	0.045	0.115	0.0	0.161	0.0	0.0	0.086	0.02	0.09	0.0	0.136	0.0	0.0	0.099	0.033	0.103	0.0	0.149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084	0.017	0.088	0.0	0.133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0FEC87269	KLRG2_TNFSF9	simple:A4D1S0	simple:P41273	KLRG2	TNFSF9	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.698	0.41	0.152	0.222	0.561	0.137	0.273	0.673	0.385	0.127	0.197	0.536	0.112	0.248	0.685	0.398	0.14	0.21	0.549	0.125	0.261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.383	0.125	0.195	0.533	0.109	0.246	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS028784FC6	HLA-DPA1_TNFSF9	simple:HLADPA1	simple:P41273	HLA-DPA1	TNFSF9	True	True	False	InnateDB-All	False	5.311	5.023	4.766	4.836	5.174	4.75	4.887	2.487	2.199	1.941	2.011	2.35	1.926	2.062	1.255	0.968	0.71	0.78	1.118	0.694	0.831	1.512	1.224	0.967	1.037	1.375	0.951	1.088	5.4	5.113	4.855	4.925	5.264	4.84	4.976	1.86	1.573	1.315	1.385	1.723	1.299	1.436	3.943	3.655	3.397	3.467	3.806	3.382	3.518
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	0.671	0.383	0.125	0.195	0.534	0.11	0.246	0.869	0.582	0.324	0.394	0.732	0.308	0.445	0.896	0.608	0.351	0.42	0.759	0.335	0.472	0.929	0.642	0.384	0.454	0.793	0.369	0.505	0.747	0.459	0.202	0.272	0.61	0.186	0.323	0.664	0.377	0.119	0.189	0.527	0.103	0.24	0.77	0.483	0.225	0.295	0.633	0.209	0.346
CPI-SS044DF8749	KLRG2_WNT5B	simple:A4D1S0	simple:Q9H1J7	KLRG2	WNT5B	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123	0.083	0.0	0.067	0.045	0.059	0.0	0.098	0.058	0.0	0.042	0.02	0.034	0.0	0.111	0.071	0.0	0.055	0.032	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.056	0.0	0.04	0.017	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS072B19293	HLA-DPA1_GAL	simple:HLADPA1	simple:P22466	HLA-DPA1	GAL	True	True	False	InnateDB-All	False	4.659	4.745	4.792	4.791	4.705	4.901	0.0	1.834	1.92	1.968	1.967	1.881	2.077	0.0	0.603	0.689	0.737	0.735	0.649	0.845	0.0	0.86	0.946	0.993	0.992	0.906	1.102	0.0	4.748	4.834	4.882	4.88	4.794	4.99	0.0	1.208	1.294	1.341	1.34	1.254	1.45	0.0	3.29	3.376	3.424	3.423	3.337	3.533	0.0
CPI-SS0F8ABC300	GALR2_GAL	simple:O43603	simple:P22466	GALR2	GAL	True	True	False	guidetopharmacology.org	False	0.028	0.114	0.161	0.16	0.074	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.101	0.149	0.147	0.061	0.257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	0.352	0.206	0.052	0.148	0.248	0.065	2.434	0.55	0.404	0.251	0.347	0.447	0.264	2.633	0.577	0.431	0.277	0.373	0.473	0.29	2.659	0.61	0.464	0.311	0.407	0.507	0.324	2.693	0.428	0.282	0.129	0.224	0.324	0.141	2.51	0.345	0.199	0.046	0.141	0.241	0.058	2.427	0.451	0.305	0.152	0.247	0.347	0.164	2.534
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	0.051	0.106	0.043	0.024	0.139	0.0	0.559	0.25	0.305	0.241	0.222	0.337	0.0	0.757	0.276	0.331	0.268	0.249	0.364	0.0	0.784	0.31	0.365	0.301	0.282	0.397	0.0	0.817	0.127	0.183	0.119	0.1	0.215	0.0	0.635	0.045	0.1	0.036	0.017	0.132	0.0	0.552	0.151	0.206	0.142	0.123	0.238	0.0	0.658
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	0.285	0.276	0.025	0.196	0.389	0.035	1.836	0.484	0.475	0.223	0.395	0.588	0.233	2.034	0.51	0.501	0.25	0.421	0.614	0.26	2.061	0.544	0.535	0.283	0.455	0.648	0.294	2.094	0.362	0.352	0.101	0.272	0.465	0.111	1.912	0.279	0.269	0.018	0.19	0.382	0.028	1.829	0.385	0.375	0.124	0.296	0.488	0.134	1.935
