patients	mock	mock_ratio	cor_mock	tgfb	tgfb_ratio	cor_tgfb
KD0d_A	47.9076104379154	outer	0.503288020342988	73.8475269709203	outer	0.517701868023831
KD0d_B	45.9403925686342	outer	0.515130649530586	72.8426038361603	outer	0.530392540124593
KD0d_C	47.2161673866244	outer	0.506949336076194	73.8475269709203	outer	0.523091802761725
KD1d_A	55.1513146614754	inner	0.569784550602548	48.0984427595495	inner	0.589439540082135
KD1d_B	55.6333820975053	inner	0.566104116298759	48.4948366323243	inner	0.5835247632793
KD1d_C	54.8886320740218	inner	0.576329078254842	47.8153052253647	neutral	0.5916443214562
KD3d_A	62.3659070615637	outer	0.564161934710143	53.2455275816392	outer	0.585324869759307
KD3d_B	61.4056562863984	outer	0.575025601862817	51.0076002984833	neutral	0.595892810390442
KD3d_C	60.8799298962257	outer	0.576255385473907	51.0076002984833	neutral	0.59736204458984
WT0d_A	44.3345834361386	inner	0.496499281656047	50.0828168219946	inner	0.538904599931421
WT0d_B	44.4228958647825	inner	0.499875749483918	50.0828168219946	inner	0.541031405858052
WT0d_C	44.4027254555421	inner	0.504486327382564	50.0828168219946	inner	0.541556234894269
WT1d_A	61.0041664397053	inner	0.556346223160427	51.8332044181724	outer	0.574002629931133
WT1d_B	60.7256008384446	neutral	0.560455885052375	51.8332044181724	outer	0.575215397536056
WT1d_C	61.6572641588195	inner	0.556470518881912	53.307973691206	outer	0.575476759755138
WT3d_A	59.3706310212013	inner	0.522023427402883	44.3201753142365	inner	0.575979778879305
WT3d_B	60.0993041139304	inner	0.52814946638433	43.0497215355572	inner	0.575272425800205
WT3d_C	59.9931890158338	inner	0.52383493930824	43.0497215355572	inner	0.572594819127601
