ENSEMBL_id	KD0d_A	KD0d_B	KD0d_C	KD1d_A	KD1d_B	KD1d_C	KD3d_A	KD3d_B	KD3d_C	WT0d_A	WT0d_B	WT0d_C	WT1d_A	WT1d_B	WT1d_C	WT3d_A	WT3d_B	WT3d_C
ENSG00000000003.14	202	140	140	37	59	84	365	285	253	34	66	63	150	173	160	175	160	148
ENSG00000000005.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.12	1344	821	888	427	409	592	1258	927	808	256	299	347	811	872	774	642	540	464
ENSG00000000457.13	168	149	141	21	16	40	111	119	88	34	49	67	175	183	186	129	115	103
ENSG00000000460.16	306	207	227	63	76	100	206	176	141	57	50	55	149	186	129	87	63	57
ENSG00000000938.12	1	2	2	0	0	0	0	0	1	2	3	0	2	2	0	0	1	2
ENSG00000000971.15	262	156	203	44	48	61	171	131	107	38	45	55	130	167	136	100	74	76
ENSG00000001036.13	1195	944	932	217	306	401	779	765	582	299	346	403	596	638	670	446	382	345
ENSG00000001084.10	2097	1498	1517	60	73	115	250	233	184	152	176	226	343	415	372	181	144	163
ENSG00000001167.14	548	374	352	62	67	71	262	254	194	74	95	80	370	425	413	310	300	323
ENSG00000001460.17	169	114	112	91	100	133	204	158	124	64	73	78	147	187	193	121	97	93
ENSG00000001461.16	1453	1128	1019	254	265	306	454	417	333	365	425	435	840	938	918	534	512	472
ENSG00000001497.16	707	540	540	216	217	280	395	374	291	290	343	359	459	524	422	388	313	276
ENSG00000001561.6	2	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000001617.11	1210	1050	949	379	466	561	223	313	239	807	852	803	840	877	799	922	864	871
ENSG00000001626.14	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000001629.9	1536	1103	1053	239	263	374	1119	1008	693	180	223	238	1042	1229	1133	876	763	686
ENSG00000001630.15	2189	1532	1670	357	360	542	847	765	590	355	350	380	1129	1229	1072	641	534	539
ENSG00000001631.14	880	664	625	85	92	112	360	268	235	104	149	144	483	607	494	438	382	304
ENSG00000002016.16	222	168	187	22	19	44	52	56	52	49	58	51	140	166	172	80	56	70
ENSG00000002079.12	3	2	0	11	26	18	46	55	36	0	0	0	28	29	26	16	18	10
ENSG00000002330.13	208	203	182	359	495	525	308	732	531	525	499	564	371	450	436	546	414	482
