SOURCE	TARGET	count
DC	DC	77
DC	T_cell	103
DC	HighPseudotime_tumour	44
DC	Myeloid	191
DC	Fibroblast	148
DC	EC	147
DC	B_cell	82
DC	MidPseudotime_tumour	22
DC	LowPseudotime_tumour	67
DC	Mast	72
T_cell	DC	103
T_cell	T_cell	27
T_cell	HighPseudotime_tumour	25
T_cell	Myeloid	125
T_cell	Fibroblast	80
T_cell	EC	78
T_cell	B_cell	52
T_cell	MidPseudotime_tumour	18
T_cell	LowPseudotime_tumour	40
T_cell	Mast	35
HighPseudotime_tumour	DC	44
HighPseudotime_tumour	T_cell	25
HighPseudotime_tumour	HighPseudotime_tumour	5
HighPseudotime_tumour	Myeloid	59
HighPseudotime_tumour	Fibroblast	57
HighPseudotime_tumour	EC	64
HighPseudotime_tumour	B_cell	14
HighPseudotime_tumour	MidPseudotime_tumour	6
HighPseudotime_tumour	LowPseudotime_tumour	17
HighPseudotime_tumour	Mast	20
Myeloid	DC	191
Myeloid	T_cell	125
Myeloid	HighPseudotime_tumour	59
Myeloid	Myeloid	112
Myeloid	Fibroblast	173
Myeloid	EC	162
Myeloid	B_cell	107
Myeloid	MidPseudotime_tumour	38
Myeloid	LowPseudotime_tumour	78
Myeloid	Mast	81
Fibroblast	DC	148
Fibroblast	T_cell	80
Fibroblast	HighPseudotime_tumour	57
Fibroblast	Myeloid	173
Fibroblast	Fibroblast	119
Fibroblast	EC	207
Fibroblast	B_cell	73
Fibroblast	MidPseudotime_tumour	34
Fibroblast	LowPseudotime_tumour	75
Fibroblast	Mast	75
EC	DC	147
EC	T_cell	78
EC	HighPseudotime_tumour	64
EC	Myeloid	162
EC	Fibroblast	207
EC	EC	76
EC	B_cell	64
EC	MidPseudotime_tumour	31
EC	LowPseudotime_tumour	83
EC	Mast	57
B_cell	DC	82
B_cell	T_cell	52
B_cell	HighPseudotime_tumour	14
B_cell	Myeloid	107
B_cell	Fibroblast	73
B_cell	EC	64
B_cell	B_cell	24
B_cell	MidPseudotime_tumour	8
B_cell	LowPseudotime_tumour	26
B_cell	Mast	38
MidPseudotime_tumour	DC	22
MidPseudotime_tumour	T_cell	18
MidPseudotime_tumour	HighPseudotime_tumour	6
MidPseudotime_tumour	Myeloid	38
MidPseudotime_tumour	Fibroblast	34
MidPseudotime_tumour	EC	31
MidPseudotime_tumour	B_cell	8
MidPseudotime_tumour	MidPseudotime_tumour	2
MidPseudotime_tumour	LowPseudotime_tumour	6
MidPseudotime_tumour	Mast	13
LowPseudotime_tumour	DC	67
LowPseudotime_tumour	T_cell	40
LowPseudotime_tumour	HighPseudotime_tumour	17
LowPseudotime_tumour	Myeloid	78
LowPseudotime_tumour	Fibroblast	75
LowPseudotime_tumour	EC	83
LowPseudotime_tumour	B_cell	26
LowPseudotime_tumour	MidPseudotime_tumour	6
LowPseudotime_tumour	LowPseudotime_tumour	10
LowPseudotime_tumour	Mast	28
Mast	DC	72
Mast	T_cell	35
Mast	HighPseudotime_tumour	20
Mast	Myeloid	81
Mast	Fibroblast	75
Mast	EC	57
Mast	B_cell	38
Mast	MidPseudotime_tumour	13
Mast	LowPseudotime_tumour	28
Mast	Mast	18
