tumor	gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	pglobal_cv	qglobal_cv
BRCA	TP53	1	80	16	8	37	134.130952455061	378.338099401085	378.338099401085	455.470375969457	0	0	0	3.81423324719622e-48	0	0	0	0	0
BRCA	PIK3CA	3	95	0	0	7	46.8786412059513	0	0	31.7595959073588	0	0.455379401560388	0	1.46784256809327e-06	0	0.918776650131106	0	0	0
BRCA	CDH1	0	5	4	3	17	5.1893194518423	84.0629173304218	84.0629173304218	91.2084602440631	0.0185368481353747	3.18204906868402e-10	1.51151602345578e-09	1.55219627645747e-16	0.746165797520136	3.11236219407984e-06	9.85609215028068e-06	0	0
BRCA	GATA3	0	3	0	0	21	6.11749891381259	0	0	228.883200168314	0.03311777882407	0.801724783766022	0.0981801052110758	2.5373557180414e-26	0.746165797520136	0.918776650131106	0.937357550150631	0	0
BRCA	PTEN	0	6	5	0	7	13.0281786318112	93.0141248916354	93.0141248916354	84.0371485766499	0.000160904313946331	3.23697846305038e-08	3.33782179673392e-09	2.94035817245841e-09	0.629522037883624	0.000211072575647305	1.63236174969272e-05	4.44089209850063e-16	1.73745462461739e-12
BRCA	MAP3K1	0	6	2	0	17	3.84492823998114	12.3156136377147	12.3156136377147	54.4960000400747	0.0399072874936564	0.0181558258691534	0.0174522971462636	2.92541185671543e-13	0.746165797520136	0.918776650131106	0.937357550150631	1.73083769539062e-13	5.64310783287188e-10
BRCA	KMT2C	3	6	12	0	7	0.832638026469019	14.0512629264492	14.0512629264492	6.91185016794922	0.745638223092786	6.01747183193169e-08	1.72916692076086e-08	0.00407858587349504	0.826084551177498	0.000294284459940619	6.76519266078479e-05	1.71906366919217e-09	4.80404621381959e-06
BRCA	MAP2K4	0	5	2	1	4	11.149358899213	51.9880007771148	51.9880007771148	47.2033479665854	0.000853105691754896	6.69211777156731e-05	7.29520135889228e-06	1.85075978293152e-05	0.746165797520136	0.228748547681044	0.0237847881637751	3.20335424852658e-09	7.83300197620962e-06
BRCA	PIK3R1	2	3	0	0	9	2.40391199018609	0	0	60.2086841822067	0.24672341829046	0.580716696050244	0.421819027363778	1.13371887889227e-09	0.746165797520136	0.918776650131106	0.937357550150631	1.07413656857958e-08	2.33469550606152e-05
BRCA	RUNX1	1	3	0	0	6	4.04539826502964	0	0	60.5007568012472	0.0822766642981616	0.722154295106518	0.201910693664308	1.44176221194419e-07	0.746165797520136	0.918776650131106	0.937357550150631	5.34244586569699e-07	0.00104508926024764
BRCA	TBX3	0	2	0	1	6	2.36057123439777	21.0547332278048	21.0547332278048	39.1140645448924	0.356075293823791	0.046673578360314	0.107987456019484	1.60409387515515e-06	0.746165797520136	0.918776650131106	0.937357550150631	2.87006219734653e-06	0.00510401424586299
BRCA	FBXW7	0	7	0	0	3	9.14971312863145	0	0	20.5514576422316	0.000494843434786896	0.665027549315616	0.00184178296980886	0.00142695631826645	0.746165797520136	0.918776650131106	0.937357550150631	3.63977757480427e-05	0.0593344407652676
BRCA	RB1	2	3	4	0	3	1.91549922142611	16.4394599124338	16.4394599124338	15.6624671805166	0.382957916280898	0.000337047471616336	0.00157832449592654	0.0029470695339185	0.746165797520136	0.507178664596828	0.937357550150631	6.17632747693664e-05	0.0929394754644881
