tumors	samples	score_emt	states
1	KIRC	KIRC.TCGA.B0.4698.01A.01R.1503.07	3.04294449088099	1
2	UCEC	UCEC.TCGA.AX.A3FS.01A.11R.A22K.07	2.31303030495874	1
3	BLCA	BLCA.TCGA.K4.A5RH.01A.11R.A30C.07	2.57839554288795	3
4	UCEC	UCEC.TCGA.EO.A22X.01A.11R.A180.07	0.535003247276327	1
5	UCEC	UCEC.TCGA.AX.A3FV.01A.11R.A22K.07	0.094083536789873	2
6	LUSC	LUSC.TCGA.85.6560.01A.11R.1820.07	0.275088882997037	1
7	UCEC	UCEC.TCGA.AX.A2IN.01A.12R.A180.07	1.48958800392279	3
8	UCEC	UCEC.TCGA.AX.A3FZ.01A.11R.A22K.07	4.22655738686232	3
9	READ	READ.TCGA.EI.6917.01A.11R.1928.07	-0.257311135321951	1
10	UCEC	UCEC.TCGA.PG.A6IB.01A.21R.A31O.07	1.11834121919549	3
11	SKCM	SKCM.TCGA.EE.A29Q.06A.11R.A18T.07	1.93872449679477	3
12	BLCA	BLCA.TCGA.G2.A2EF.01A.12R.A18C.07	2.14508500357935	1
13	READ	READ.TCGA.AF.2687.01A.02R.1736.07	0.634770814309819	1
14	UCEC	UCEC.TCGA.AJ.A3EL.01A.11R.A213.07	1.03316676619025	1
15	SKCM	SKCM.TCGA.YD.A9TA.06A.11R.A39D.07	2.68047371308681	3
16	UCEC	UCEC.TCGA.A5.A1OH.01A.21R.A22K.07	1.76694489202428	1
17	COAD	COAD.TCGA.DM.A1DA.01A.11R.A155.07	-1.17752387046263	2
18	UCS	UCS.TCGA.NF.A4X2.01A.11R.A28V.07	2.98308215527612	3
19	SKCM	SKCM.TCGA.W3.AA1V.06B.11R.A40A.07	3.07514510905037	3
20	SKCM	SKCM.TCGA.EE.A2M6.06A.12R.A18S.07	2.72567110035129	3
21	UCEC	UCEC.TCGA.AJ.A3EM.01A.11R.A213.07	-0.543286581466698	2
22	READ	READ.TCGA.F5.6814.01A.31R.1928.07	-0.260871760256349	1
23	ACC	ACC.TCGA.OR.A5JB.01A.11R.A29S.07	2.54383340963354	3
24	BLCA	BLCA.TCGA.BL.A13I.01A.11R.A13Y.07	3.28205505356399	3
25	UCEC	UCEC.TCGA.5B.A90C.01A.11R.A37O.07	0.106718716804358	1
26	BLCA	BLCA.TCGA.E7.A7DV.01A.11R.A33J.07	2.03798159692235	3
27	SKCM	SKCM.TCGA.D3.A2J8.06A.11R.A18T.07	3.38782011138857	3
28	LUSC	LUSC.TCGA.22.5483.01A.01R.1820.07	0.690541640253106	1
