TCGAlong.id	cancer.type	sample.type	mRNAsi	EREG-mRNAsi
TCGA-02-0047-01A-01R-1849-01	GBM	1	0.239842634	0.558564474
TCGA-02-0055-01A-01R-1849-01	GBM	1	0.187830427	0.574387313
TCGA-02-2483-01A-01R-1849-01	GBM	1	0.408749038	0.706700116
TCGA-02-2485-01A-01R-1849-01	GBM	1	0.349145104	0.565913175
TCGA-02-2486-01A-01R-1849-01	GBM	1	0.249841058	0.461803069
TCGA-04-1348-01A-01R-1565-13	OV	1	0.574147361	0.499811398
TCGA-04-1357-01A-01R-1565-13	OV	1	0.381039173	0.502994701
TCGA-04-1362-01A-01R-1565-13	OV	1	0.402316243	0.41473038
TCGA-04-1364-01A-01R-1565-13	OV	1	0.555929446	0.476925375
TCGA-04-1365-01A-01R-1565-13	OV	1	0.512914064	0.462745206
TCGA-04-1514-01A-01R-1566-13	OV	1	0.418371135	0.753655727
TCGA-04-1519-01A-01R-1565-13	OV	1	0.447336009	0.417889567
TCGA-05-4244-01A-01R-1107-07	LUAD	1	0.363073476	0.430116346
TCGA-05-4249-01A-01R-1107-07	LUAD	1	0.319604809	0.511913163
TCGA-05-4250-01A-01R-1107-07	LUAD	1	0.372354501	0.570615782
TCGA-05-4382-01A-01R-1206-07	LUAD	1	0.239002038	0.642047181
TCGA-05-4384-01A-01R-1755-07	LUAD	1	0.263331448	0.479311286
TCGA-05-4389-01A-01R-1206-07	LUAD	1	0.419321705	0.52773765
TCGA-05-4390-01A-02R-1755-07	LUAD	1	0.371113431	0.59352592
TCGA-05-4395-01A-01R-1206-07	LUAD	1	0.409756826	0.687770993
TCGA-05-4396-01A-21R-1858-07	LUAD	1	0.285216086	0.521211385
TCGA-05-4397-01A-01R-1206-07	LUAD	1	0.472307261	0.671637433
TCGA-05-4398-01A-01R-1206-07	LUAD	1	0.341076518	0.375045756
TCGA-05-4402-01A-01R-1206-07	LUAD	1	0.273359846	0.663196855
TCGA-05-4403-01A-01R-1206-07	LUAD	1	0.263949291	0.688663283
TCGA-05-4405-01A-21R-1858-07	LUAD	1	0.249852995	0.519886457
TCGA-05-4410-01A-21R-1858-07	LUAD	1	0.350572064	0.60522932
TCGA-05-4415-01A-22R-1858-07	LUAD	1	0.513829894	0.570394787
TCGA-05-4417-01A-22R-1858-07	LUAD	1	0.242897806	0.711669884
TCGA-05-4418-01A-01R-1206-07	LUAD	1	0.37676497	0.420902331
TCGA-05-4420-01A-01R-1206-07	LUAD	1	0.395780451	0.434047244
TCGA-05-4422-01A-01R-1206-07	LUAD	1	0.378742513	0.69915275
TCGA-05-4424-01A-22R-1858-07	LUAD	1	0.373760665	0.633301721
