tumor	gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	pglobal_cv	qglobal_cv
UCEC	PTEN	0	102	58	13	95	87.9670377875754	442.971257676193	442.971257676193	179.860144077053	0	0	0	9.13665299584756e-60	0	0	0	0	0
UCEC	TP53	3	97	10	5	22	34.3456294849517	55.72699822625	55.72699822625	42.7089757028278	0	0	0	6.22911449256501e-14	0	0	0	0	0
UCEC	CTNNB1	3	63	0	0	1	13.9795594035487	0	0	0.975610878183798	0	0.328764118409262	0	0.554149166674424	0	0.850518587908101	0	0	0
UCEC	KRAS	1	58	0	0	1	78.7245445131863	0	0	4.02567857103209	0	0.675203130681026	0	0.207349030967268	0	0.850518587908101	0	0	0
UCEC	PIK3CA	3	192	1	0	7	37.6239052454723	1.07092137405565	1.07092137405565	5.00856173945059	0	0.949745461990865	0	0.0119431836173835	0	0.952667456028372	0	0	0
UCEC	CTCF	0	22	15	3	21	9.46616414122044	90.7539780392858	90.7539780392858	22.0638152450797	2.45335440229866e-06	0	0	2.33937781257936e-09	0.00319950125451776	0	0	0	0
UCEC	ARID1A	3	21	53	1	71	2.77740908503216	96.3635976717507	96.3635976717507	23.7560822061343	0.01595807973279	0	0	7.02224333084171e-14	0.708630928796935	0	0	0	0
UCEC	PIK3R1	0	21	10	3	70	10.5056709522472	40.6766926789135	40.6766926789135	73.8503793030715	8.9810879000396e-07	8.37685476540173e-12	3.46656037208959e-12	2.42954344923694e-31	0.00144314629380438	3.27736065841577e-08	6.16480490898332e-09	0	0
UCEC	FBXW7	1	43	6	0	7	17.5500383576823	15.4782489465391	15.4782489465391	7.5623622873908	5.77315972805081e-15	4.78660071256964e-05	1.55431223447522e-14	0.00229066096163477	1.88224251000217e-11	0.0585221769620546	3.80068199135053e-11	1.33226762955019e-15	2.89575770769564e-12
UCEC	FGFR2	0	43	0	0	4	19.1852754340415	0	0	3.71751605587411	7.69384556065233e-14	0.502243134133791	1.0369483049999e-13	0.0569726135904344	1.88133758571851e-10	0.850518587908101	2.25386474915644e-10	1.99507077525141e-13	3.9027574505468e-10
UCEC	ARHGAP35	5	20	13	0	17	2.3594453315396	20.8320456724043	20.8320456724043	8.66862785628911	0.0302906576716052	1.04682373880394e-10	8.64955995716343e-10	0.000107274220302867	0.708630928796935	3.4129943297471e-07	1.30155916832332e-06	2.87714296831609e-12	5.11660643147267e-09
UCEC	PPP2R1A	2	45	0	2	0	14.190610482826	8.01343561569795	8.01343561569795	0	1.95399252334028e-14	0.0379065683522899	1.77635683940025e-13	1	5.46057167736892e-11	0.850518587908101	3.47490924923477e-10	5.39279731981424e-12	8.79115843085051e-09
UCEC	ZFHX3	10	24	13	0	29	1.31194884429427	11.2901611153149	11.2901611153149	5.98852292829018	0.423238482261028	2.03592223080307e-08	7.39675146688157e-08	0.000698594021058013	0.802992632216194	5.68953009699566e-05	0.000103353751567955	1.27561039509061e-09	1.91949927298173e-06
UCEC	SPOP	1	25	2	0	2	14.9378091222275	11.5782737899022	11.5782737899022	4.07935428531252	1.3037249058101e-10	0.019455942060703	6.38331387747826e-10	0.102292160306321	2.83371851193969e-07	0.850518587908101	1.04058655059358e-06	1.59663060550486e-09	2.23094913606329e-06
UCEC	ARID5B	7	15	6	1	17	1.686359533173	10.6678910442382	10.6678910442382	10.9360317783294	0.193487555496295	3.19361348631864e-05	0.000172656974910756	1.59755267245758e-05	0.721484759872051	0.0446239050138323	0.112583858106807	5.71203991883706e-08	7.44926165948604e-05
UCEC	MAP3K1	1	17	5	0	19	3.81423689143955	12.7153401641974	12.7153401641974	9.60522117741299	0.00621372117228713	0.00038240377629617	0.000509829700910736	3.46247911980769e-05	0.708630928796935	0.215258880017028	0.279452389748362	3.32796195046114e-07	0.000406884947968256
UCEC	CCND1	1	11	2	0	6	6.62118891453589	23.7290849114909	23.7290849114909	15.5043026046506	0.000395460907722134	0.00448538276037536	0.000148597984537924	0.000141834484584607	0.297538702956169	0.840083772749546	0.103816920483245	3.93602688886219e-07	0.000452920929411307
UCEC	NFE2L2	0	21	0	0	2	13.195318867275	0	0	2.52435289932706	4.97288824563569e-08	0.581308027380756	1.60600776677455e-07	0.196079077963101	8.84360362373866e-05	0.850518587908101	0.000196354524585274	5.75443343087123e-07	0.000625379037637239
UCEC	CHD4	3	55	1	1	2	6.44951884895708	1.9955777628921	1.9955777628921	0.788128725910456	3.30317093677479e-08	0.425514939905697	1.21062623703594e-07	0.576306392993923	6.46166298651885e-05	0.850518587908101	0.000157881802992647	1.21943059039342e-06	0.00120037918833727
UCEC	FOXA2	0	7	2	0	9	3.85995361147236	35.2695342020801	35.2695342020801	14.8360136992778	0.0362009901133414	0.00220257767715626	0.00290303568988692	2.41967972865324e-05	0.708630928796935	0.574490993607076	0.573628122884525	1.22725609685848e-06	0.00120037918833727
UCEC	KMT2B	11	34	9	1	23	1.53671095236277	6.37836422809254	6.37836422809254	6.47725160361202	0.163136772064567	5.3667521336398e-05	0.000286728924621671	0.000528676198480877	0.716545205996581	0.0617555324930951	0.180935200756423	2.53181835829785e-06	0.00235844908214394
UCEC	MUC15	0	8	0	0	7	7.63170105322487	0	0	14.7904765178803	0.00105089113984758	0.663811812394163	0.00362594930114113	8.55426584695228e-05	0.415190725761905	0.850518587908101	0.644138818817074	4.95847278259021e-06	0.00440898384422862
