tumor	gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	pglobal_cv	qglobal_cv
UCEC	PTEN	1	22	10	3	29	54.3964508492376	237.123051683954	237.123051683954	206.207869156337	0	0	0	1.56311732977482e-35	0	0	0	0	0
UCEC	TP53	0	33	3	1	7	69.523035093471	93.647027644719	93.647027644719	51.0376206873903	0	4.48982822032207e-07	0	1.74627146225426e-08	0	0.00219575049114851	0	0	0
UCEC	PIK3CA	1	47	0	0	0	45.1394014473291	0	0	0	0	0.541440129410291	0	1	0	0.930225964669428	0	0	0
UCEC	KRAS	0	21	0	0	0	143.384199132531	0	0	0	0	0.854596525932734	0	1	0	0.930225964669428	0	0	0
UCEC	ARID1A	1	3	14	0	28	1.14981161086623	74.5417120694926	74.5417120694926	35.1860412088045	0.84865212089978	0	0	4.66666729611724e-16	0.896497072526272	0	0	0	0
UCEC	PIK3R1	1	6	4	5	18	7.5613112877598	70.8414737257526	70.8414737257526	71.3219321999945	0.00137631189362153	2.91100477056716e-12	3.83915121915379e-12	1.25890413877419e-17	0.742832564851729	1.89816917739449e-08	1.07287823070124e-08	0	0
UCEC	PPP2R1A	1	20	0	0	0	22.6162463292866	0	0	0	3.54161144855425e-13	0.716331434022609	2.49400500251795e-12	1	1.38562006313236e-09	0.930225964669428	8.13128764320936e-09	6.91267043606558e-11	1.93179512957593e-07
UCEC	CTNNB1	2	18	0	0	1	15.9992871567201	0	0	3.66414405080754	1.0024225893801e-10	0.627116577808236	5.60965718321427e-10	0.228119593335354	3.26823178224226e-07	0.930225964669428	1.37170142272547e-06	3.04296532416259e-09	7.44081095890858e-06
UCEC	FBXW7	0	10	0	0	2	17.4481231925431	0	0	8.11494049670371	3.2448851217115e-07	0.672789647275291	1.64571451144457e-06	0.0321638063515869	0.000793455534386506	0.930225964669428	0.00321934672728787	9.39775791741759e-07	0.00204265489311692
UCEC	KMT2B	2	12	3	0	11	2.81981191841603	10.5224892454628	10.5224892454628	11.6346017283374	0.0305468842501653	0.00559270188747341	0.00631384121243639	1.42491148798515e-05	0.742832564851729	0.930225964669428	0.951448088315827	1.54956997655553e-06	0.00303126878813793
UCEC	SPOP	1	10	0	0	0	20.9977185341062	0	0	0	2.79132091884904e-08	0.760242965176642	1.7659462137054e-07	1	7.80054568778927e-05	0.930225964669428	0.000383838220361168	2.92253661726694e-06	0.00499250142150875
UCEC	ARHGAP35	2	4	3	0	7	2.01351754249676	21.0963049004209	21.0963049004209	13.4058817005545	0.292161812774319	0.000719093585833108	0.00285247741236405	6.50714952404526e-05	0.742832564851729	0.639404942093966	0.951448088315827	3.06257116133857e-06	0.00499250142150875
UCEC	KANSL1	0	3	1	2	5	2.66567866760401	26.7233176717871	26.7233176717871	12.9868396737482	0.215692219588675	0.000450658309509189	0.00172145434992466	0.000420247891864331	0.742832564851729	0.564391079405264	0.951448088315827	1.09523032569836e-05	0.0164806889471626
UCEC	CTCF	1	4	2	1	3	4.09871052682456	38.68330940121	38.68330940121	11.8380038564551	0.0471673389303506	0.000126742287385073	0.000216927504601117	0.00461463575848153	0.742832564851729	0.354190375118115	0.326425834231311	1.48298977611372e-05	0.0207216042859547
LUSC	TP53	2	181	36	23	45	69.9958931467162	189.509581079418	189.509581079418	341.536799239835	0	0	0	7.591788219408e-48	0	0	0	0	0
LUSC	CDKN2A	0	24	12	0	18	80.162423969903	558.349172686839	558.349172686839	320.394045001178	4.73230343800424e-11	0	0	1.42654472044357e-25	4.62866599271194e-07	0	0	0	0
LUSC	KMT2D	8	42	24	8	21	2.05560292173134	15.6883076599508	15.6883076599508	11.3393342037253	0.0387413925522305	2.22044604925031e-16	0	2.1596070619933e-05	0.814484207376539	1.08590914038587e-12	0	0	0
LUSC	FAT1	6	26	21	8	9	1.6803215266235	20.3915680269981	20.3915680269981	5.86214327599629	0.213562460884413	1.11022302462516e-16	0	0.0064349667927894	0.814484207376539	7.2393942692391e-13	0	0	0
