gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Bcell	HighPseudotime_tumour	LowPseudotime_tumour	MidPseudotime_tumour	Myeloid	Stromal	Tcell
ACVRL1	P37023	True	ACVL1_HUMAN	ACVL1_BMPR2	CPI-CS0A97B38B6	0.002	0.039	0.004	0.079	0.693	0.765	0.03
BMPR2	Q13873	True	BMPR2_HUMAN	ACVL1_BMPR2	CPI-CS0A97B38B6	0.002	0.039	0.004	0.079	0.693	0.765	0.03
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.143	1.407	0.763	1.162	0.304	1.587	0.14
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.143	1.407	0.763	1.162	0.304	1.587	0.14
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.143	1.407	0.763	1.162	0.304	1.587	0.14
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.143	1.407	0.763	1.162	0.304	1.587	0.14
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.364	1.105	1.08	1.182	0.102	0.489	0.389
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.364	1.105	1.08	1.182	0.102	0.489	0.389
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.364	1.105	1.08	1.182	0.102	0.489	0.389
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.364	1.105	1.08	1.182	0.102	0.489	0.389
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.364	1.105	1.08	1.182	0.102	0.489	0.389
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.364	1.105	1.08	1.182	0.102	0.489	0.389
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS09CECD20D	0.364	1.105	1.08	1.182	0.102	0.489	0.389
