gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cell	DC	EC	Fibroblast	HighPseudotime_tumour	LowPseudotime_tumour	Mast	MidPseudotime_tumour	Myeloid	T_cell
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.015	0.037	0.05	0.197	0.038	0.034	0.05	0.023	0.052	0.024
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.015	0.037	0.05	0.197	0.038	0.034	0.05	0.023	0.052	0.024
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.015	0.037	0.05	0.197	0.038	0.034	0.05	0.023	0.052	0.024
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.015	0.037	0.05	0.197	0.038	0.034	0.05	0.023	0.052	0.024
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.008	0.037	0.039	0.117	0.016	0.013	0.0	0.011	0.042	0.015
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.006	0.012	0.034	0.032	0.012	0.034	0.0	0.01	0.018	0.007
ACVR1	Q04771	True	ACVR1_HUMAN	MIS receptor 3	CPI-CS0D4BB4458	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.015	0.037	0.05	0.197	0.038	0.034	0.05	0.023	0.052	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.015	0.037	0.05	0.197	0.038	0.034	0.05	0.023	0.052	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.015	0.037	0.05	0.197	0.038	0.034	0.05	0.023	0.052	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.015	0.037	0.05	0.197	0.038	0.034	0.05	0.023	0.052	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS09CECD20D	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	0.019	0.009	0.005	0.19	0.047	0.07	0.05	0.036	0.027	0.039
