patients	pseudospace
GSM3569551_0A_L3.LB1	62.8749766563168
GSM3569552_0B_L3.LB2	76.3374154842952
GSM3569553_1A_L3.LB3	72.9591761953831
GSM3569554_1B_L3.LB4	65.3708238492791
GSM3569555_2A_L3.LB5	70.6859011200486
GSM3569556_2B_L4.LB6	66.2741109947634
GSM3569557_4A_L4.LB7	58.4658880711199
GSM3569558_4B_L4.LB8	58.3305654213406
GSM3569559_6A_L4.LB9	65.278979638813
GSM3569560_6B_L4.LB10	73.5073831504335
GSM3569561_7A_L6.LB11	70.0404610268009
GSM3569562_7B_L6.LB12	82.785654645161
GSM3569563_8A_L6.LB13	67.6569093956508
GSM3569564_8B_L6.LB14	67.3929239052334
GSM3569565_16A_L6.LB15	77.3765133037901
GSM3569566_16B_L7.LB16	64.8685180698266
GSM3569567_21A_L7.LB18	77.9611533491459
GSM3569568_21B_L7.LB19	74.3697686344011
GSM3569569_24A_L7.LB20	73.1912789591509
GSM3569570_24B_L7.LB21	75.7275427555289
GSM3569571_72A_L8.LB22	81.8415769870081
GSM3569572_72B_L8.LB23	77.9592310917307
GSM3569573_180A_L8.LB25	85.3811582170964
GSM3569574_180B_L8.LB27	80.3766927276445
