patients	pseudospace
timepoint_0_rep1	44.1107666746414
timepoint_0_rep2	45.0512055690194
timepoint_0_rep3	47.1311268511087
timepoint_0_5_rep1	39.8922745976585
timepoint_0_5_rep1.1	45.0743498610132
timepoint_0_5_rep3	50.5762228972259
timepoint_1_rep1	45.6634290376481
timepoint_1_rep2	42.7310061437334
timepoint_1_rep3	51.7451612463981
timepoint_2_rep1	47.6611384687964
timepoint_2_rep2	48.8664337010933
timepoint_4_rep1	50.1000964780119
timepoint_4_rep2	51.2031825856982
timepoint_4_rep3	57.0213448244766
timepoint_8_rep1	54.7423243209907
timepoint_8_rep2	57.8275447261336
timepoint_8_rep3	52.9916464697955
timepoint_16_rep1	63.7292964642035
timepoint_16_rep2	53.1886152677102
timepoint_16_rep3	56.9192226349801
timepoint_24_rep1	59.793094605958
timepoint_24_rep2	69.8600767327019
timepoint_24_rep3	55.0022694762483
timepoint_72_rep1	57.5799460022593
timepoint_72_rep2	68.0269864663365
timepoint_72_rep3	70.4367993750188
