patients	pseudospace
GSM3569551_0A_L3.LB1	28.7214227551036
GSM3569552_0B_L3.LB2	31.9106382545794
GSM3569553_1A_L3.LB3	27.6174659323762
GSM3569554_1B_L3.LB4	40.6190124489862
GSM3569555_2A_L3.LB5	39.3435914085768
GSM3569556_2B_L4.LB6	31.6033395849017
GSM3569557_4A_L4.LB7	46.1932947823683
GSM3569558_4B_L4.LB8	35.6214840939891
GSM3569559_6A_L4.LB9	40.6190124489862
GSM3569560_6B_L4.LB10	28.9372817233664
GSM3569561_7A_L6.LB11	48.8957340254615
GSM3569562_7B_L6.LB12	49.8355732699659
GSM3569563_8A_L6.LB13	38.6979038525368
GSM3569564_8B_L6.LB14	40.6190124489862
GSM3569565_16A_L6.LB15	63.1137619215674
GSM3569566_16B_L7.LB16	28.801740614164
GSM3569567_21A_L7.LB18	52.058663619412
GSM3569568_21B_L7.LB19	71.797761492601
GSM3569569_24A_L7.LB20	46.839315906187
GSM3569570_24B_L7.LB21	50.9740400680589
GSM3569571_72A_L8.LB22	47.8730849780376
GSM3569572_72B_L8.LB23	50.2236659555309
GSM3569573_180A_L8.LB25	71.2044857116896
GSM3569574_180B_L8.LB27	65.5696088059711
