tumor	gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	pglobal_cv	qglobal_cv
BLCA	TP53	0	8	2	0	0	165.337093287712	367.88567323301	367.88567323301	0	1.28230759344206e-13	1.53153222882674e-05	7.7715611723761e-16	1	2.50845011429135e-09	0.0998661115343621	1.52027279654021e-11	2.78665979180914e-14	5.45126388473705e-10
BLCA	RB1	0	1	6	0	1	8.26765782357576	342.280028263709	342.280028263709	195.171743810549	0.131622849081914	8.01136934569513e-13	4.74709160869224e-12	0.00498358555435684	0.903927029168858	1.56718407140488e-08	4.64313030246188e-08	7.65942864688895e-13	7.49168715952209e-09
BLCA	ARID1A	1	3	1	0	3	9.25676200481807	29.7646232085819	29.7646232085819	237.945603674541	0.00935563919694982	0.0307884357787535	0.00483918949794115	5.90428979656594e-05	0.903927029168858	0.98210482651485	0.996130365653449	4.59101795846628e-06	0.0246535249966112
BLCA	KRAS	0	4	0	0	0	172.235856625163	0	0	0	4.48858584745082e-08	0.942223238827756	3.15690522612044e-07	1	0.000439028581739165	0.98210482651485	0.00205851266777894	5.04110520327394e-06	0.0246535249966112
UCEC	PTEN	0	11	4	1	10	267.105928672505	862.79117325954	862.79117325954	267.141899457803	0	4.56967796935714e-13	0	5.3166348306295e-14	0	8.93920404365645e-09	0	0	0
UCEC	PIK3CA	0	18	0	0	0	162.56648850539	0	0	0	0	0.842816692108413	0	1	0	0.980593515456447	0	0	0
UCEC	CTNNB1	0	15	0	0	0	151.209416040525	0	0	0	0	0.886349813794707	0	1	0	0.980593515456447	0	0	0
UCEC	ARID1A	0	1	4	1	8	2.96298292591293	211.540750364412	211.540750364412	37.7691434404033	0.391269931354521	5.72609848425998e-10	4.49557036041881e-09	4.12542149147665e-06	0.894897327004703	5.60069692745468e-06	1.46570578984188e-05	6.04960526118248e-13	2.95855945298129e-09
UCEC	CTCF	0	4	1	1	3	38.7387408109104	244.458023785861	244.458023785861	44.474722821821	2.03884005713917e-05	3.71067081178511e-05	8.03891657685796e-08	0.00038256846293187	0.0664729819962607	0.181470356050351	0.000224653265823565	7.75163266908407e-10	3.03274876545245e-06
UCEC	TP53	0	7	0	0	0	113.150769415715	0	0	0	4.85231854696622e-11	0.917308591771041	4.02119448850158e-10	1	2.37302638539383e-07	0.980593515456447	1.9665651646017e-06	9.10168096446284e-09	2.96745138378037e-05
UCEC	RB1	0	0	2	2	2	0	204.768314252782	204.768314252782	23.2347314060177	0.654672748028575	2.43516860010118e-08	1.41029981026719e-07	0.0073871481475922	0.894897327004703	0.000158789227183931	0.000344853561105585	2.25888302507471e-08	6.31260996235878e-05
UCEC	KRAS	0	5	0	0	0	273.069376733618	0	0	0	1.57029056424562e-10	0.948795729973171	1.28209087790765e-09	1	6.14360480355458e-07	0.980593515456447	5.01605235072589e-06	2.75326113019503e-08	6.73241177860939e-05
UCEC	PIK3R1	0	1	0	1	6	11.9347428153018	74.7714798971977	74.7714798971977	89.3175123152709	0.088501268208249	0.0114689917587431	0.0117648773181296	2.23642633331506e-07	0.894897327004703	0.980593515456447	0.995925491651262	5.46113093635725e-08	0.000118700714863356
SKCM	NF1	15	28	28	6	6	0.940027722446095	9.68702645993022	9.68702645993022	14.0229008584761	0.846781274425704	1.43218770176645e-14	0	0.000439952922924419	0.946912946867567	1.40082279109777e-10	0	0	0
SKCM	TP53	1	28	11	5	6	17.8781431171062	109.643541183158	109.643541183158	101.078777761604	1.75584363137915e-06	4.77395900588817e-15	3.03090885722668e-14	1.43406992228154e-08	0.0171739065585195	9.33881860731844e-11	2.96453195325341e-10	0	0
