patients	pseudospace
timepoint_0_rep1	20.7348936136395
timepoint_0_rep2	24.8716319104538
timepoint_0_rep3	23.6549513582155
timepoint_0_5_rep1	18.8763200657774
timepoint_0_5_rep1.1	31.0165558876326
timepoint_0_5_rep3	40.9709883683586
timepoint_1_rep1	27.774794546296
timepoint_1_rep2	27.4899754746105
timepoint_1_rep3	40.7637176047247
timepoint_2_rep1	38.4970265583185
timepoint_2_rep2	42.1964087808369
timepoint_4_rep1	41.8075797576113
timepoint_4_rep2	39.8540865741162
timepoint_4_rep3	41.7378284426034
timepoint_8_rep1	57.7810211321009
timepoint_8_rep2	53.5696950829513
timepoint_8_rep3	56.3737371066553
timepoint_16_rep1	55.7970222846884
timepoint_16_rep2	54.5249621745591
timepoint_16_rep3	62.27405328797
timepoint_24_rep1	58.5582050045864
timepoint_24_rep2	63.1859821468089
timepoint_24_rep3	67.6926712390117
timepoint_72_rep1	71.6341924463008
timepoint_72_rep2	68.3639946240893
timepoint_72_rep3	67.3225318594015
