patients	pseudospace	ratio	cor_tgfb
GSM3569551_0A_L3.LB1	62.062670228302	outer	0.598272347711575
GSM3569552_0B_L3.LB2	68.544858350292	outer	0.622297923903638
GSM3569553_1A_L3.LB3	68.3845617144161	neutral	0.63097896518844
GSM3569554_1B_L3.LB4	65.3657046341173	outer	0.591254180416519
GSM3569555_2A_L3.LB5	65.2710186480539	outer	0.609901354674746
GSM3569556_2B_L4.LB6	67.7648946381264	outer	0.605697164466895
GSM3569557_4A_L4.LB7	65.1711851770776	outer	0.586910404673361
GSM3569558_4B_L4.LB8	65.5620050048349	outer	0.585919408740285
GSM3569559_6A_L4.LB9	60.8372153666466	outer	0.583021208420067
GSM3569560_6B_L4.LB10	67.1246275828417	outer	0.621166096647611
GSM3569561_7A_L6.LB11	43.7346597105343	outer	0.533216033128776
GSM3569562_7B_L6.LB12	34.8676820689194	inner	0.564659192099449
GSM3569563_8A_L6.LB13	63.4421334113565	outer	0.608912926174464
GSM3569564_8B_L6.LB14	63.171106601803	outer	0.589942548046736
GSM3569565_16A_L6.LB15	48.2132986958796	outer	0.575405301028484
GSM3569566_16B_L7.LB16	49.8254719167037	outer	0.596643369452038
GSM3569567_21A_L7.LB18	33.692269446439	inner	0.562718584468291
GSM3569568_21B_L7.LB19	57.8370459745	outer	0.580294420235877
GSM3569569_24A_L7.LB20	48.3777462076439	inner	0.609687709240253
GSM3569570_24B_L7.LB21	52.0312629754469	outer	0.60522498986996
GSM3569571_72A_L8.LB22	37.9173138535552	inner	0.601287002478056
GSM3569572_72B_L8.LB23	38.3923121789435	inner	0.584796729775924
GSM3569573_180A_L8.LB25	56.343761726135	outer	0.543359325457794
GSM3569574_180B_L8.LB27	58.528171118071	outer	0.565954715252617
