patients	pseudospace
MGH26_A02	66.6708572086049
MGH26_A03	60.9460186273731
MGH26_A05	61.0416478257955
MGH26_A07	67.6571215594781
MGH26_A08	57.7807217157555
MGH26_A09	59.0521623030771
MGH26_A12	67.3142490937083
MGH26_B01	63.5753079364988
MGH26_B02	70.961985044932
MGH26_B05	75.1771219994762
MGH26_B06	61.1990351248796
MGH26_B10	65.2724108973186
MGH26_B12	64.3761518682857
MGH26_C01	52.9076393728096
MGH26_C03	68.6453764566698
MGH26_C05	64.8955975277222
MGH26_C12	65.4840366111491
MGH26_D01	75.6153085811204
MGH26_D03	59.4202091242611
MGH26_D06	60.5230306685592
MGH26_D07	61.6800152110509
MGH26_D08	66.8676898068535
MGH26_D10	62.1458235775606
MGH26_E02	64.2192289004724
MGH26_E04	56.2164316637957
MGH26_E05	64.9315287835658
MGH26_E06	65.7496909752661
MGH26_E07	71.0855149992095
MGH26_E08	64.5894361971521
MGH26_E10	65.0157610439744
MGH26_E12	64.4635824510615
MGH26_F02	67.5546821225007
MGH26_F05	67.6621390524053
MGH26_F08	52.3300492582268
MGH26_F09	63.7237472302197
MGH26_F10	65.3082353918057
MGH26_F11	60.3484510938757
MGH26_F12	68.3664048605243
MGH26_G01	63.6405790131818
MGH26_G02	60.2348437680932
MGH26_G03	62.9043265504474
MGH26_G06	64.1379546191119
MGH26_G09	60.4121922193272
MGH26_G10	60.799921324876
MGH26_G11	61.5835436243582
MGH26_G12	71.9501392689185
MGH26_H01	61.0017381075494
MGH26_H02	67.1421494299014
MGH26_H05	64.2617226492311
MGH26_H07	60.6155797909886
MGH26_H08	58.613731828959
MGH26_H11	62.7353723753811
MGH26_H12	67.6979550169757
MGH28_A01	55.0097501998037
MGH28_A02	55.4024126475884
MGH28_A03	59.0892676618571
MGH28_A04	60.1538535833526
MGH28_A05	61.3362603769113
MGH28_A06	57.5330477339074
MGH28_A07	68.6824069595885
MGH28_A08	66.0846429447825
MGH28_A09	61.7580706407588
MGH28_A10	51.9891137702592
MGH28_A11	53.6741326519198
MGH28_A12	56.1864938276859
MGH28_B01	59.8157354132105
MGH28_B02	64.2688624007695
MGH28_B03	53.3873391927375
MGH28_B04	62.1421342824754
MGH28_B05	59.9121417525397
MGH28_B06	56.7506262159269
MGH28_B07	53.1417535283857
MGH28_B08	48.7983610057983
MGH28_B09	71.1046500317827
MGH28_B10	53.4784210300888
MGH28_B11	59.0828887044829
MGH28_B12	61.408417896684
MGH28_C01	63.6202404651119
MGH28_C02	58.5925697708121
MGH28_C03	60.015950978928
MGH28_C04	57.3437185394579
MGH28_C05	65.80393448385
MGH28_C06	66.2863848798557
MGH28_C07	62.9033517482536
MGH28_C08	56.5816358824249
MGH28_C09	55.045359426829
MGH28_C10	55.8855383592357
MGH28_C11	53.7026915385868
MGH28_C12	53.4457259271703
MGH28_D01	63.8441053552061
MGH28_D03	61.0109185427589
MGH28_D04	63.261644976564
MGH28_D05	57.4185693999688
MGH28_D06	71.8899112767037
MGH28_D07	48.8119733297368
MGH28_D08	65.1413212112344
MGH28_D09	64.7309468612513
MGH28_D10	53.668428192084
MGH28_D11	64.4151765179154
MGH28_D12	57.5847545125882
MGH28_E01	63.7984381371114
MGH28_E02	60.2207239912417
MGH28_E03	59.7396723671682
MGH28_E04	54.9188758814472
MGH28_E05	59.4836255572786
MGH28_E06	58.5395727334235
MGH28_E07	55.7700045717666
MGH28_E08	62.4689864065465
MGH28_E09	51.6861385963551
MGH28_E10	56.7959537985592
MGH28_E11	62.263701687007
MGH28_E12	49.6323196221112
MGH28_F01	63.1795008081172
MGH28_F02	52.5912885050816
MGH28_F03	54.4733481893573
MGH28_F04	57.1045963823426
MGH28_F05	62.6210867305167
MGH28_F06	62.4252160534191
MGH28_F07	56.5856530322696
MGH28_F08	57.1898669701072
MGH28_F09	59.1096382829931
MGH28_F11	53.1232078952248
MGH28_F12	44.7247282449399
MGH28_G01	67.3307619880415
MGH28_G02	58.8267217493617
MGH28_G03	62.695523507374
MGH28_G04	60.4836454197669
MGH28_G05	53.6376015444591
MGH28_G06	56.2333658644422
MGH28_G07	60.7357580196827
MGH28_G08	54.7544223370369
MGH28_G09	64.2508366646814
MGH28_G10	61.1425486609701
MGH28_G11	55.8931273157688
MGH28_G12	57.0141561506988
MGH28_H01	63.4838915632583
MGH28_H02	53.2504336683307
MGH28_H03	59.5906750473396
MGH28_H04	59.7223739493549
MGH28_H05	60.3460863766019
MGH28_H06	60.2305085380999
MGH28_H07	60.1728482259608
MGH28_H08	62.8630329158273
MGH28_H09	59.4865962989928
MGH28_H10	56.9996832441528
MGH28_H11	54.161788449686
MGH28_H12	57.5164844154495
MGH29_A01	60.5584529943516
MGH29_A02	64.7066541284511
MGH29_A03	75.7006841053316
MGH29_A04	71.8583708003131
MGH29_A05	68.5053054514445
MGH29_A06	61.6668968454891
MGH29_A07	72.6266943290399
MGH29_A08	64.4571371427386
MGH29_A10	54.9951249618865
MGH29_A11	62.9738489915783
MGH29_A12	70.2554385603691
MGH29_B02	56.5486063329729
MGH29_B03	59.3583508987264
MGH29_B04	70.1926232876373
MGH29_B05	59.1541086740239
MGH29_B06	68.7075219117463
MGH29_B08	70.5633686382635
MGH29_B09	62.8055368942982
MGH29_B10	60.8038241330751
MGH29_B12	57.4734984190019
MGH29_C01	63.8194535414935
MGH29_C03	64.7927862609132
MGH29_C04	72.066622174654
MGH29_C07	60.0078599618134
MGH29_C08	60.7261484372786
MGH29_C09	58.9237825176891
MGH29_C10	59.6994110159089
MGH29_C11	68.9757579094836
MGH29_C12	72.045054696715
MGH29_D02	62.4929223827525
MGH29_D03	51.2552028051483
MGH29_D04	63.5059023234629
MGH29_D05	47.8240839944438
MGH29_D07	67.1964437115344
MGH29_D08	63.9012369738507
MGH29_D09	53.2130120847232
MGH29_D10	60.0254975053119
MGH29_D11	48.6490334797907
MGH29_D12	68.9617624648503
MGH29_E01	69.7637608361393
MGH29_E02	70.0436444863235
MGH29_E03	58.0244128988224
MGH29_E04	48.2375477060314
MGH29_E05	65.038927249904
MGH29_E06	61.6113134599974
MGH29_E07	69.4978885547161
MGH29_E09	53.5621149550271
MGH29_E12	61.849010198316
MGH29_F01	64.8581324880865
MGH29_F02	59.3449088916578
MGH29_F03	55.0628145494002
MGH29_F04	64.4216221202555
MGH29_F05	67.2575819761826
MGH29_F06	62.6413822226476
MGH29_F10	60.7570989637466
MGH29_F11	72.6524721572402
MGH29_F12	59.2638378908503
MGH29_G03	67.8032081163675
MGH29_G04	68.1852991853944
MGH29_G06	56.2300253395592
MGH29_G07	62.5451120699203
MGH29_G08	66.4042520843857
MGH29_G09	59.2013466093855
MGH29_G11	66.011281033276
MGH29_H01	57.3302913490049
MGH29_H02	60.1226823859698
MGH29_H03	59.6276803981214
MGH29_H04	50.3983338657267
MGH29_H05	61.3839919471483
MGH29_H06	61.9084304729489
MGH29_H07	59.1008383861413
MGH29_H08	57.8505388130929
MGH29_H10	66.950724577596
MGH29_H11	66.3055341981743
MGH29_H12	54.3188636717221
MGH30_A01	63.1500982764601
MGH30_A06	64.6645501775224
MGH30_A07	60.6311974629697
MGH30_A08	57.1140343432022
MGH30_A09	65.939695450378
MGH30_A11	36.8080062980965
MGH30_A12	69.4077452716394
MGH30_B02	65.1473272879766
MGH30_B03	49.7701320329693
MGH30_B05	67.4505076795775
MGH30_B06	65.2715937310912
MGH30_B07	57.8572391436529
MGH30_B08	64.8340591435389
MGH30_B09	55.2375292754319
MGH30_B10	54.2456714243
MGH30_B12	60.5465270004898
MGH30_C01	66.9734822735918
MGH30_C05	60.2413309182569
MGH30_C06	61.658325370736
MGH30_C07	43.4280785274681
MGH30_C08	54.5538293035295
MGH30_C09	52.0527774979626
MGH30_C10	61.9356878483929
MGH30_C11	58.3642355949292
MGH30_C12	69.9439223898944
MGH30_D01	55.3117077312931
MGH30_D02	61.7825373553885
MGH30_D03	59.3936789788665
MGH30_D04	57.0535211964078
MGH30_D05	62.034350229324
MGH30_D06	63.1374836884546
MGH30_D07	61.8086378695021
